label,id,sentence
0,0,Unusual trading pattern detected in your portfolio. Potential insider trading alert. Please contact compliance officer immediately at ext. 5678 to review recent transactions.
0,1,Alert: Unusual activity on your OCBC card. Verify transactions now: ocbc-sg-secure.com
0,2,ALERT: Your Singtel line will be terminated due to non-payment. Settle outstanding bills within 24 hours to avoid disruption. Call 6789 0123 for assistance.
0,3,"Congratulations! You've won a prize in our lucky draw. To claim, please provide your full name, NRIC, and contact details. Our representative will call you within 24 hours with further instructions. This is a limited time offer."
1,4,Reminder: Your yoga class at True Fitness Novena is today at 7pm. Don't forget to bring your mat!
0,5,"Congratulations! You've won in a lucky draw. Prize value: $10,000. To claim, please provide your bank details for the transfer. This is a limited time offer. Our representative will contact you shortly with more information."
0,6,"WARNING: Your account will be terminated in 24 hours. To prevent this, please verify your details. This is due to suspicious activity detected. Prompt action is required. Thank you for your cooperation."
1,7,"Hi Alex, I've reviewed your code for the new API. Great work overall, but I've noticed a potential security vulnerability. Can we hop on a quick call to discuss mitigation strategies?"
0,8,Fantastic deal! 70% off at Ion Orchard shops TODAY ONLY! Show this SMS at any store. Don't miss out!
1,9,"Hi Alex, I've reviewed your CV and I'm impressed with your experience in AI development. Would you be open to discussing a potential role at our firm? Let's connect on a call."
1,10,"Hi, this is from SP Group. Your utilities bill is ready. Total amount due is $87.60. Payment is due by the 20th. You can view and pay online at spgroup.com.sg. Let us know if you have any questions about your bill."
1,11,"Hi Sarah, I've reviewed your proposal for the Johnson account. Can we schedule a call tomorrow at 2 PM to discuss some potential improvements? Let me know if that works for you."
1,12,"Hi Aunty, reminder for your doctor's appt tmrw at Tan Tock Seng Hospital. 2:30pm, Dr. Lim. Don't forget to bring your medical card."
1,13,"Dr. Garcia, patient in ICU bed 3 showing signs of acute renal failure. Creatinine risen to 3.5 mg/dL. Urine output < 30 mL/hr. Started on IV fluids. Awaiting your further orders."
0,14,"Your credit card shows suspicious transactions. To prevent fraud, please confirm recent purchases. Reply 'YES' to receive a verification call."
1,15,"Meeting shifted to Starbucks at Raffles City. 3pm still okay? If you're running late, let me know and I'll order your usual. We need to finalize the project timeline today. Bring any relevant documents you have."
1,16,"Meeting shifted to 3pm at Suntec City Tower 3. Can you make it? If not, we can reschedule. Let me know ASAP so I can inform the team. We'll be discussing the new project timeline."
1,17,Hey Zoe! Dinner at Lau Pa Sat tonight? They've got amazing satay. Let me know by 7pm!
1,18,"Agent 447, rendezvous point changed to Charlie-3. New passphrase: 'The eagle flies at midnight'. Confirm receipt with countersign."
0,19,"Your Grab account password has been changed. If this wasn't you, please reset your password immediately. Reply 'RESET' for instructions."
0,20,"Congratulations! You've been pre-approved for a credit card with $10,000 limit. Reply 'ACCEPT' to receive your card within 3 working days."
0,21,Error code XB-354 detected on server cluster 7. Backup systems engaged. Urgent attention required. Please login to the admin panel for full diagnostic report.
0,22,"Congratulations! You've won 2 tickets to Universal Studios Singapore. To claim, provide your name and IC number. Offer expires in 24 hours."
1,23,"Agent 007, mission update: Target has changed location. New coordinates: 51¡30'26.5N 0¡07'39.6""W. Await further instructions at the designated safe house."""
1,24,"Hey, don't forget to bring your swimsuit for the beach outing this weekend. We're meeting at East Coast Park at 10am."
0,25,URGENT: Significant market volatility detected. Your stop-loss orders may execute. Log in now to review and adjust your positions if necessary. Market closes in 30 minutes.
